Player;BirthPlace;Year
Joe Dziedzic;United States;1994
Miikka Kiprusoff;Finland;1994
Sami Salo;Finland;1994
Greg de Vries;Canada;1994
Scott Nichol;Canada;1994
Éric Dazé;Canada;1994
Brian Wiseman;Canada;1994
Adrian Aucoin;Canada;1994
Patrick Lalime;Canada;1994
Todd Harvey;Canada;1994
Nathan Dempsey;Canada;1994
Olli Jokinen;Finland;1995
Rhett Warrener;Canada;1995
Wayne Primeau;Canada;1995
Daymond Langkow;Canada;1995
Harry York;Canada;1995
Frederik Beaubien;Canada;1995
Todd Bertuzzi;Canada;1995
Bryan McCabe;Canada;1995
Jeff O'Neill;Canada;1995
Kevin Weekes;Canada;1995
Mike Grier;United States;1996
Ryan Bach;Canada;1996
Wade Belak;Canada;1996
Jay McKee;Canada;1996
Rocky Thompson;Canada;1996
Daniel Goneau;Canada;1996
Eric Cairns;Canada;1996
Jamal Mayers;Canada;1996
Kristian Huselius;Sweden;1996
Erik Rasmussen;United States;1997
Hal Gill;United States;1997
Thomas Ziegler;Switzerland;1997
Jean-Sébastien Giguère;Canada;1997
Derek Morris;Canada;1997
Brendan Morrison;Canada;1997
Shawn Thornton;Canada;1997
Martin St. Louis;Canada;1997
Marc Denis;Canada;1997
Henrik Tallinder;Sweden;1997
Chris Drury;United States;1998
Tom Poti;United States;1998
Roberto Luongo;Canada;1998
Arron Asham;Canada;1998
Jonathan Girard;Canada;1998
Eric Brewer;Canada;1998
Reed Low;Canada;1998
Kyle Freadrich;Canada;1998
Matt Cooke;Canada;1998
Jason Blake;United States;1999
David Legwand;United States;1999
David Tanabe;United States;1999
Robyn Regehr;Brazil;1999
Tuomo Ruutu;Finland;1999
Mike Ribeiro;Canada;1999
Alex Tanguay;Canada;1999
Brad Stuart;Canada;1999
Mike Van Ryn;Canada;1999
Brad Ference;Canada;1999
Johan Franzén;Sweden;1999
Johnny Oduya;Sweden;1999
Erik Cole;United States;2000
Brad Richards;Canada;2000
Andrew Peters;Canada;2000
John Erskine;Canada;2000
Willie Mitchell;Canada;2000
Scott Hartnell;Canada;2000
Trent Hunter;Canada;2000
Justin Williams;Canada;2000
Mathieu Darche;Canada;2000
Shawn Horcoff;Canada;2000
Michael Ryder;Canada;2000
Krys Barch;Canada;2000
Carl Corazzini;United States;2001
Ron Hainsey;United States;2001
Sean Bergenheim;Finland;2001
Dan Blackburn;Canada;2001
Kent Huskins;Canada;2001
Chris Neil;Canada;2001
Stéphane Veilleux;Canada;2001
Nick Schultz;Canada;2001
Derek MacKenzie;Canada;2001
Mike Komisarek;United States;2002
Ryan Miller;United States;2002
Pascal Leclaire;Canada;2002
Tyler Sloan;Canada;2002
Marc-André Bergeron;Canada;2002
Brad Boyes;Canada;2002
Carlo Colaiacovo;Canada;2002
Steve Ott;Canada;2002
Alexandre Burrows;Canada;2002
Jason Pominville;Canada;2002
Travis Moen;Canada;2002
Ray Emery;Canada;2002
Andrew Ianiero;Canada;2002
Fredrik Johansson;Sweden;2002
Tim Gleason;United States;2003
Chris Higgins;United States;2003
Karri Rämö;Finland;2003
Jay McClement;Canada;2003
Eric Staal;Canada;2003
Drew MacIntyre;Canada;2003
Kyle Wellwood;Canada;2003
Gregory Campbell;Canada;2003
Ryane Clowe;Canada;2003
Nathan Horton;Canada;2003
Dan Ellis;Canada;2003
Shane O'Brien;Canada;2003
Nicklas Grossmann;Sweden;2003
Martin Samuelsson;Sweden;2003
Douglas Murray;Sweden;2003
Ryan Vesce;United States;2004
James Wisniewski;United States;2004
R. J. Umberger;United States;2004
Jan Zapletal;Czech Republic;2004
Yann Danis;Canada;2004
Chris Kelly;Canada;2004
Rene Bourque;Canada;2004
Brooks Laich;Canada;2004
Thomas Vanek;Austria;2004
Emil Axelsson;Sweden;2004
Chris Bourque;United States;2005
Mike Brown;United States;2005
Mike McKenna;United States;2005
Jimmy Howard;United States;2005
Matt Carle;United States;2005
B. J. Crombeen;United States;2005
Eric Nystrom;United States;2005
David Skokan;Slovakia;2005
Philip Larsen;Denmark;2005
Mike Mole;Canada;2005
Pierre-Luc Létourneau-Leblond;Canada;2005
Steve Bernier;Canada;2005
Dion Phaneuf;Canada;2005
Clarke MacArthur;Canada;2005
Bracken Kearns;Canada;2005
David Clarkson;Canada;2005
Mike Richards;Canada;2005
Brandon Prust;Canada;2005
Zack Stortini;Canada;2005
Warren Peters;Canada;2005
Dustin Penner;Canada;2005
Carl Gunnarsson;Sweden;2005
Tony Lagerström;Sweden;2005
Mark Stuart;United States;2006
Jaime Sifers;United States;2006
Stephen Gionta;United States;2006
Peter Harrold;United States;2006
David Booth;United States;2006
Ryan Carter;United States;2006
Drew Miller;United States;2006
Keith Yandle;United States;2006
Luca Sbisa;Italy;2006
Bryan Bickell;Canada;2006
Greg Stewart;Canada;2006
Kris Versteeg;Canada;2006
Jordan Staal;Canada;2006
John Scott;Canada;2006
Tom Pyatt;Canada;2006
Mike Blunden;Canada;2006
Cédrick Desjardins;Canada;2006
Cal O'Reilly;Canada;2006
Matt Stefanishion;Canada;2006
Adam Berti;Canada;2006
Cody Bass;Canada;2006
Mike Weber;United States;2007
David Rohlfs;United States;2007
Mike Morris;United States;2007
Joe Santilli;United States;2007
Brian Boyle;United States;2007
Peter Mueller;United States;2007
Derek Ryan;United States;2007
Jack Skille;United States;2007
Travis Morin;United States;2007
Bobby Ryan;United States;2007
Ethan Graham;United States;2007
Borna Rendulic;Croatia;2007
Evgeny Kuznetsov;Russia;2007
Jannik Hansen;Denmark;2007
Bryan Little;Canada;2007
Chris Porter;Canada;2007
Chris Stewart;Canada;2007
Steve Downie;Canada;2007
Trevor Smith;Canada;2007
Cody Franson;Canada;2007
Derick Brassard;Canada;2007
Pierre-Cédric Labrie;Canada;2007
Mark Fistric;Canada;2007
Andrew Bodnarchuk;Canada;2007
Micheal Haley;Canada;2007
Derek Dorsett;Canada;2007
Sam Gagner;Canada;2007
Tyler Kennedy;Canada;2007
Jean-Claude Sawyer;Canada;2007
Martin Lundberg;Sweden;2007
Magnus Pääjärvi;Sweden;2007
Marcus Johansson;Sweden;2007
Chris Butler;United States;2008
Brandon Sutter;United States;2008
Jeff Prough;United States;2008
Chris Mueller;United States;2008
Yannick Weber;Switzerland;2008
Sven Bärtschi;Switzerland;2008
Andrew Campbell;Canada;2008
Michael Kostka;Canada;2008
Ian McKenzie;Canada;2008
Scott Jackson;Canada;2008
Brett MacLean;Canada;2008
Jesse Winchester;Canada;2008
Jason Garrison;Canada;2008
Grant Clitsome;Canada;2008
Yanni Gourde;Canada;2008
Matt Corrente;Canada;2008
Zach Boychuk;Canada;2008
Zack Smith;Canada;2008
Shawn Matthias;Canada;2008
Justin Falk;Canada;2008
Chris Terry;Canada;2008
Jason Demers;Canada;2008
Mathieu Perreault;Canada;2008
Matthew Halischuk;Canada;2008
Dana Tyrell;Canada;2008
Frazer McLaren;Canada;2008
Erik Karlsson;Sweden;2008
Jakob Silfverberg;Sweden;2008
Jim O'Brien;United States;2009
Joe Vitale;United States;2009
Tom McCollum;United States;2009
Erik Condra;United States;2009
Brian Lashoff;United States;2009
Eric Tangradi;United States;2009
Brian Strait;United States;2009
Tyler Myers;United States;2009
Dennis McCauley;United States;2009
Alec Richards;United States;2009
Richard Bachman;United States;2009
Adam Vay;Hungary;2009
Dean Kukan;Switzerland;2009
Joel Vermin;Switzerland;2009
